"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"851","ASV_851","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Gloeoporus","Gloeoporus_pannocinctus",78.7413299870825,78.7413299870825,78.7413299870825,26.9732140383463,26.9732140383463,25.6887394280824,16.1503359694565,15.4434320618403
"852","ASV_852","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Sporidiobolus","Sporidiobolus_pararoseus",71.4524349711138,71.4524349711138,71.4524349711138,61.4695429823716,61.4695429823716,34.5843655403462,18.865757440353,9.12843101305155
"853","ASV_853","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Cyphellophora","Cyphellophora_olivacea",82.643694237951,82.643694237951,82.643694237951,81.1111302259573,81.1111302259573,44.7433550698166,12.2062500369364,4.43635548208773
"854","ASV_854","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Escovopsis","Escovopsis_sp.",82.122067632383,82.122067632383,82.122067632383,46.0153273087451,45.4505884385995,39.8065571225645,38.3194241960367,38.3194241960367
"855","ASV_855","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Leotiomycetes_X","Leotiomycetes_X_sp.",86.2742377954783,85.4732114296023,85.4732114296023,84.4796157459509,83.6943577375294,39.5905973700363,22.6907429916655,22.6907429916655
"856","ASV_856","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Exobasidiomycetes_X","Exobasidiomycetes_X_sp.",78.8553367746738,77.1711549552118,77.1711549552118,61.8612676168057,55.9094618034762,55.2876855736689,16.1421952078436,16.1421952078436
"857","ASV_857","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",73.2190192201436,73.2190192201436,73.2190192201436,72.0020345564085,69.6430531861591,44.3931973158694,43.7465679359545,43.7465679359545
"858","ASV_858","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Exobasidiomycetes_X","Exobasidiomycetes_X_sp.",73.0604121023753,70.0610485007039,70.0610485007039,68.5151512130841,48.120686622933,47.3581915407885,25.6309253770208,25.6309253770208
"859","ASV_859","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Capronia","Capronia_pilosella",75.7118672220207,75.7118672220207,75.7118672220207,49.2634627241244,49.2634627241244,43.9670966130886,13.4686538091005,9.16939328203629
"860","ASV_860","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_edax",59.5612259702272,56.8432733540805,56.8432733540805,44.334538549263,41.1062253856184,37.0282573480272,17.7152421952838,11.8583477357226
"861","ASV_861","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Trametes","Trametes_versicolor",96.4251321133698,96.4251321133698,96.4251321133698,95.4464659664453,95.4464659664453,95.4464659664453,28.2298700788439,8.46067317294718
"862","ASV_862","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Echinamoebida","Vermamoebidae","Hartmannella","Hartmannella_vermiformis",100,100,100,100,100,100,61.5705802022091,52.3002318246468
