ID,sample_id_blood,sample_id_faeces,sampling_state,sampling_location,sub_species,sample_type
BRO54,B191,F191,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
HOB30,B192,F192,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB31,B193,F193,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB39,B194,F194,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB26,B195,F195,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB50,B196,F196,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB47,B197,F197,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB57,B198,F198,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB6,B199,F199,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO50,B200,F200,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
BRO32,B201,F201,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
BRO41,B202,F202,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
BRO48,B203,F203,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
BRO24,B204,F204,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO97,B205,F205,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
BRO26,B206,F206,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO84,B207,F207,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
EAG69,B208,F208,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
BRO39,B209,F209,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO73,B210,F210,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO90,B211,F211,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
HOB88,B212,F212,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO72,B213,F213,NSW,Broughton_Island,Zosterops_lateralis_lateralis,Broughton_trip3_migrant
BRO83,B214,F214,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
BRO100,B215,F215,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
HOB7,B216,F216,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB85,B055,F055,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB82,B056,F056,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB103,B061,F061,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB104,B092,F092,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB79,B104,F104,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB102,B108,F108,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO36,B218,F218,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO64,B219,F219,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO65,B220,F220,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
EAG24,B222,F222,QLD,Eagleby_Wetlands,Zosterops_lateralis_cornwalli,Mainland_resident
EAG57,B223,F223,QLD,Eagleby_Wetlands,Zosterops_lateralis_cornwalli,Mainland_resident
EAG63,B224,F224,QLD,Eagleby_Wetlands,Zosterops_lateralis_cornwalli,Mainland_resident
BRO76,B225,F225,NSW,Broughton_Island,,Broughton_trip2_migrant
BRO78,B226,F226,NSW,Broughton_Island,,Broughton_trip2_migrant
BRO96,B227,F227,NSW,Broughton_Island,,Broughton_trip2_migrant
BRO87,B228,F228,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO92,NA,F229,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
HOB95,B230,F230,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO4,B231,NA,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO6,B232,NA,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
